batch_size,neurons_first_layer,num_hidden_layers,r2_score,mse,mae
64,64,3,0.36137383777726195,0.025365897701846114,0.12863652404763212
96,32,2,0.3596691874482826,0.025433605522822023,0.12840735979131404
64,64,2,0.3505868516039584,0.02579435116017439,0.12895968542448005
64,48,2,0.35058436780837166,0.025794449815238173,0.13033121650114687
96,48,2,0.3481842095442561,0.025889782848234965,0.13119337630310163
32,64,2,0.34630080709450006,0.025964590610111866,0.12954448657400547
64,32,2,0.3449700113953579,0.026017449120400587,0.1289385563752145
96,64,2,0.34185455801714193,0.026141193301834755,0.13140849367575802
32,48,2,0.33778818116936227,0.02630270766695085,0.13132252527925606
32,32,2,0.33682890206906035,0.02634080973192277,0.12993454429540507
64,32,3,0.3228501475484383,0.026896038562409744,0.13177164895342092
32,32,3,0.31829174052029496,0.027077096109374022,0.13207765682543635
96,64,4,0.31728127191082356,0.027117231394921313,0.13267649845991986
96,32,4,0.31434189628630316,0.027233981859918516,0.13306208453340643
32,48,3,0.31279384104138686,0.027295469805922297,0.13386920300773397
32,32,4,0.31041718614524527,0.02738986929741556,0.13381334340675047
64,48,4,0.30793878374752637,0.027488310146543533,0.13476023911110008
96,64,3,0.30228339979745245,0.02771293904405526,0.13551981903209007
32,64,4,0.30195478505915574,0.02772599144987268,0.13479321348253287
96,48,4,0.2991104692495028,0.027838966188659275,0.1351199304330602
96,32,3,0.2962730766003969,0.027951665943123906,0.13615929391697087
32,48,4,0.2930049718823279,0.028081473356069427,0.13605280477016685
96,48,3,0.28321086431575504,0.02847049019457457,0.13695264889503783
64,64,4,0.28117024538620483,0.028551542512937574,0.13785396265716174
32,64,3,0.27839234811514524,0.028661879142051993,0.13825476215761948
64,48,3,0.2671923522461671,0.029106737129837516,0.13777045862386425
64,32,4,0.16455396284998924,0.03318348036353807,0.14852455319061286
